Category,Name,ID,Level,Event Log,Event Source,
"Software and Service Installation","Update Packages Installed","2","Information","Setup","Microsoft-Windows-Servicing",
"Software and Service Installation","Updated Application","905, 906","Information","Microsoft-Windows-Application-Experience/Program-Inventory","Microsoft-Windows-Application-Experience",
"Software and Service Installation","Windows Update Installed","19","Information","System","Microsoft-Windows-WindowsUpdateClient",
"System Integrity","Registry Modification","4657","Information","Security","Microsoft-Windows-Security-Auditing",
"System Integrity","System Time Changed","1","Information","System","Microsoft-Windows-Kernel-General",
"System or Service Failures","Windows Service Fails or Crashes","7022, 7023, 7024, 7026, 7031, 7032, 7034","Error","System","Service Control Manager",
"Task Scheduler Activities","New Task Registered","106","Information","Microsoft-Windows-TaskScheduler/Operational","Microsoft-Windows-TaskScheduler",
"Task Scheduler Activities","Task Deleted","141","Information","Microsoft-Windows-TaskScheduler/Operational","Microsoft-Windows-TaskScheduler",
"Task Scheduler Activities","Task Disabled","142","Information","Microsoft-Windows-TaskScheduler/Operational","Microsoft-Windows-TaskScheduler",
"Task Scheduler Activities","Task Launched","200","Information","Microsoft-Windows-TaskScheduler/Operational","Microsoft-Windows-TaskScheduler",
"Windows Defender Activities","Action on Malware Failed","1008","Error","Microsoft-Windows-Windows Defender/Operational","Microsoft-Windows-Windows Defender",
"Windows Defender Activities","Detected Malware","1006, 1116","Warning","Microsoft-Windows-Windows Defender/Operational","Microsoft-Windows-Windows Defender",
"Windows Defender Activities","Failed to remove item from quarantine","1010","Error","Microsoft-Windows-Windows Defender/Operational","Microsoft-Windows-Windows Defender",
"Windows Defender Activities","Failed to update engine","2003","Error","Microsoft-Windows-Windows Defender/Operational","Microsoft-Windows-Windows Defender",
"Windows Defender Activities","Failed to update signatures","2001","Error","Microsoft-Windows-Windows Defender/Operational","Microsoft-Windows-Windows Defender",
"Windows Defender Activities","File Restored from Quarantine","1009","Information","Microsoft-Windows-Windows Defender/Operational","Microsoft-Windows-Windows Defender",
"Windows Defender Activities","Malware Removal Error","1118","Information","Microsoft-Windows-Windows Defender/Operational","Microsoft-Windows-Windows Defender",
"Windows Defender Activities","Malware Removal Fatal Error","1119","Error","Microsoft-Windows-Windows Defender/Operational","Microsoft-Windows-Windows Defender",
"Windows Defender Activities","Malware Removed","1007, 1117","Information","Microsoft-Windows-Windows Defender/Operational","Microsoft-Windows-Windows Defender",
